group,file,layer,accuracy
trained_large,test_trained_models_3967522.err,3,0.7715
trained_large,test_trained_models_3967522.err,3,0.7841
trained_large,test_trained_models_3967522.err,3,0.7963
trained_large,test_trained_models_3967522.err,4,0.7877
trained_large,test_trained_models_3967522.err,4,0.8181
trained_large,test_trained_models_3967522.err,4,0.8513
trained_large,test_trained_models_3967522.err,5,0.8064
trained_large,test_trained_models_3967522.err,5,0.8555
trained_large,test_trained_models_3967522.err,5,0.9021
trained_large,test_trained_models_3967522.err,6,0.8325
trained_large,test_trained_models_3967522.err,6,0.901
trained_large,test_trained_models_3967522.err,6,0.9208
trained_large,test_trained_models_3967522.err,7,0.8652
trained_large,test_trained_models_3967522.err,7,0.9342
trained_large,test_trained_models_3967522.err,7,0.9487
trained_large,test_trained_models_3967522.err,8,0.916
trained_large,test_trained_models_3967522.err,8,0.9617
trained_large,test_trained_models_3967522.err,8,0.9737
trained_large,test_trained_models_3967522.err,9,0.9415
trained_large,test_trained_models_3967522.err,9,0.9771
trained_large,test_trained_models_3967522.err,9,0.9967
trained_large,test_trained_models_3967522.err,10,0.9642
trained_large,test_trained_models_3967522.err,10,0.9892
trained_large,test_trained_models_3967522.err,10,0.9972
trained_large,test_trained_models_3967522.err,11,0.9782
trained_large,test_trained_models_3967522.err,11,0.9972
trained_large,test_trained_models_3967522.err,11,0.9959
trained_large,test_trained_models_3967522.err,12,0.9878
trained_large,test_trained_models_3967522.err,12,0.995
trained_large,test_trained_models_3967522.err,13,0.9832
trained_large,test_trained_models_3967522.err,13,0.9878
trained_large,test_trained_models_3967522.err,14,0.9667
trained_large,test_trained_models_3967522.err,14,0.9777
trained_large,test_trained_models_3967522.err,15,0.9529
trained_large,test_trained_models_3967522.err,15,0.9667
trained_small,test_trained_small_3967523.err,0,0.7572
trained_small,test_trained_small_3967523.err,0,0.7478
trained_small,test_trained_small_3967523.err,1,0.7634
trained_small,test_trained_small_3967523.err,1,0.7576
trained_small,test_trained_small_3967523.err,2,0.7661
trained_small,test_trained_small_3967523.err,2,0.7646
trained_small,test_trained_small_3967523.err,3,0.7647
trained_small,test_trained_small_3967523.err,3,0.763
trained_small,test_trained_small_3967523.err,4,0.766
trained_small,test_trained_small_3967523.err,4,0.7625
trained_small,test_trained_small_3967523.err,5,0.7803
trained_small,test_trained_small_3967523.err,6,0.8136
trained_small,test_trained_small_3967523.err,7,0.8376
trained_small,test_trained_small_3967523.err,8,0.84
trained_small,test_trained_small_3967523.err,9,0.865
trained_small,test_trained_small_3967523.err,10,0.8934
trained_small,test_trained_small_3967523.err,11,0.9147
trained_small,test_trained_small_3967523.err,12,0.9387
trained_small,test_trained_small_3967523.err,13,0.9554
trained_small,test_trained_small_3967523.err,14,0.9652
trained_small,test_trained_small_3967523.err,15,0.9797
trained_small,test_trained_small_3967523.err,16,0.9789
trained_small,test_trained_small_3967523.err,17,0.9825
trained_small,test_trained_small_3967523.err,18,0.9903
trained_small,test_trained_small_3967523.err,19,0.9867
trained_small,test_trained_small_3967523.err,20,0.9805
trained_small,test_trained_small_3967523.err,21,0.9691
trained_small,test_trained_small_3967523.err,22,0.9555
trained_small,test_trained_small_3967523.err,23,0.9442
